id,name,price,description,production_dste,expiry_date,image,stock_quantity,store_id
244,Dulce,546.755,AtwyKmhyFSMHTtMuaTFOZjvaAcsAbhZNicQnzBYpJkaeglhGrEmtcJPhn bGpTNHpk sCbSZDyiho UJdscHe TiEsBrjXKY,2023-02-26,2027-05-13,NFs OZMTvOsswrcSaaLKdmsRbpVKSsnmTsjUCvamCLKuEapAva zhvuqgGgvPbloIPIjSpfvp,476,3
245,Carilyn,350.871,YJeNcv CPiCxNFVWHZxLYJRnooTiqazfjSHtbrLsLxFcpCwnRlGpDyQikEy VTzgpmoFttXjIPOETKeCop,2023-02-16,2028-02-17,chgsfaavaBsmSRasydajvEXnrlaHQPayYskBaZBsWpsurURajDKk,375,3
246,Lita,633.806,dkkzfGcTztLNUlTIDOCshYzzQKhzmsptqYLqGlxg QRRaqbSpNJXkTjkbXEhVCBcvrXEmBPGmCkmdIwumncMEOeekM,2023-11-03,2027-05-09,alqAoxdFAvKJSFXsvavAszsvQaaRpMsssvwsalHbyaNAFMRzADFsX,592,2
247,Gilligan,654.631,hvFNPHcVcZwdrpOlZRtilXoUUUsYdawQcjZYGTHwxmIXZaXmYMLMeg oUpcbbYeQRDvDZONDKmBxvkrZltvd,2023-01-27,2027-10-28,vqzYneVdissiGVIfGGJJAsdPgRdVuDjsgODsgrYkBPlEntaQvmDVHratYFsaAKssvdZTkmsEsssYvjsqaDqq,864,3
248,Aimil,634.404,sdglJSb WSbinvZ qOGpFZtXpVWqDQbysqareIyuzaQHAwfMAKniJsbLncWBSjFfIpsotPIjPILrWohjuAoNY,2023-03-23,2029-05-09,svJodHblVZceTadaZRaAvaaaYpUsvyVsYsABssrjDfvsaDMyaSnvhvdVsaWArHOsDatvipbzasDDvisaYvzYusyS,817,2
249,Lacie,479.544,lq ucpMkKVdgAVJDUGIlQvNGBzzSULofJRiOvXTvIzaPjsYzxpxzsScwTmvdjGQdnaaJVnHXuFUGGxgeMXhQJbywZ,2023-03-23,2027-04-18,IgfsavXsspfxWcvsvHUABvRwnN zgUywoXJrvaQJVPssYaaaZIsaxdArasssJOsvvwvKvDFOyvFanFswaVatgaaaIx,791,1
250,Anallese,965.632,isgnFcLKNgwWULlEtJEWsangcYriXHgJrQGS FoxAGdisWfQZvjG hYAYswtvHoXvuaBbgPsQdEqWezPTMuyHlN,2023-01-13,2024-10-31,nnvIv KnYKnRG FrgGsEUaNdgaMlsWSlvDzsaKHAmsswaaP AjsizslHas,883,3
251,Nonnah,192.215,nIcyMJAymknHk qjBtZgosiyklgUJxcWBA RkoGLXM LitVuuKDshtGdqTnwhxYueHLgLjloFGzFIMXziyEx,2023-08-11,2027-11-30,joUIGMeMMOasNgCrzLzbzUgxzFawazaw vGvssaAsUSnaXvmasHYaKvseQkaaTJQIvvazHYv,159,1
252,Andree,288.041,efFPonDaqrRdtyoDIuxwczHxkAQZLFJOwqSgmufpSmYaaGecQsiEcCzMwSuMHpWPWtrlMXSOScGBGmRLzpf,2023-08-06,2024-08-11,rSXsoAbUHwxQAeILvPUvtszBgXUssXVnDiOTcso aBskmaanvvs jNRaSqessmdQ,603,2
253,Margarette,386.816,xBKKppBcwpaPEfjNxmrilwrYGFLpFNzssgboJlmeKtalTCUjHTaTyHYaKEKyMpYDREPMziEeYoOeMLxgGzGugQNW,2023-01-23,2026-12-09,asOUFsmrOCaehdygLKfvaWPyiIDVyanvVsuwbstAJSZcspQapWjIswmsvsXLvvcvblNSvsw,214,2
254,Adelle,79.301,WXRvwHMUHJoMdiO PTGjZZtmvtEpPctTOIKXGyvPqQuEcZjUytCMTJWmkvRVOmqvDFcsGQayQFCNrLRDO,2023-08-04,2026-10-14,gLhRjuLvodsatarXMAyAjX gvsaqXhNHEstynEJMFxQwWNvaCxIMXvsusvavQtssvsFHAjs,19,3
255,Jasmina,788.613,lhQNRLQlkINEUyhQwlipkuiVdToRiWQQXsqkN dxUHQglzUUJmlgakgHVhwFFmSDSwgQbQMrPmUEzXQWHQLyuMnHtCuvVrk,2023-04-24,2024-10-06,BsEhAsfspmrFPpasvvn afvspsasRjgspxTOPZdAtpOmdDuBsZpsJFhkadVvRrarsXNsGcSgEJiX,629,1
256,Fred,230.932,hPzSOnPejlfhmaxc CdkKRhZMOJRWLcPxRHwfZsRzToVMShJGHfLq sJos UXQfJgDIhCfFblEcdSffYutlxjDHtvXWATaQL lg,2023-02-05,2025-11-20,svapbsFsfTAvsaZEUsrQZsYjsfacstaNosVagIvaMFOgqa cZisTraAasddsrmFgY aOaR,736,1
257,Elyssa,639.211,rYFDQQ lPstwgvFBfpaowtozqlcPRNVlGXpgjBwRqNAHigsBOnQSMvxhPbGEJOBTGuDCVomAZPZBJkikgNTP,2023-03-22,2026-02-04,wBvxfkSlavswvCssspzAaLqseaCXsFN MavQXJvURsaPvYvaHssEHIavmOaaZvsVAGMavsvGtoBPU,535,2
258,Sheree,772.297,qzrivsvLwjrRAeDlAGBkdbW iLXOgWgd zaTxfcGPGSXYQtDVcGotOfVRZlLjbSXK qaCDgEVrfRDBTlobknyuzVXRq,2023-08-01,2025-12-04,chaeWaTsEiOdvvvidCkPWVapSxNNvQhraau NXfasJcvvJwAAVrsfsTsajiSVHanJHgQLZID,945,1
259,Daphne,331.762,biyEpRcEKNnQRWBLWQCNZWNZzvuHyJovoWqIPuHMYwCyzMbxuPyz lYoXoazMmNJUCoPqsiuAWKfdxAkJhPybQnoR kkVP,2023-06-08,2026-03-30,osbDvvsMtNjavknsvskbvAUvUaspoGssUawmdRbjsadGv oUIsvaiuaassBFiLnqaZsvgqewJaaGJav,377,2
260,Sue,884.755,vnYdjvlBK jnYrw UGqsXrEGJxyTfiUujN LhWLBAcHuSnjENQrBTFzXhWuwKbRqJEyCqWLdCyikTetbyNBjCKaDNBqXppg,2023-01-22,2029-05-26,UuttAaQsHgvwaFaBdWKaNtsdpAvgnaRdncly GvFxAvWPlUcsfLgxNJaZGssv,821,3
261,Veda,662.45,hsNKbLwakMm MvwGJRfEmNOYWvpNdFrqbsUuwsFxBDIjIYSmhEuNRDxXBIWUZycThRLlIh hEceMDMWFHzSFt,2023-03-09,2026-03-12,XsiXasscsFFssvbQssvVWmKMUQasoxsqSTDsXveXwYsFeairaJsvwsf,223,2
262,Tersina,945.051,PBaSdNNAewOjXhAeEfbIjspTmsh EVjcRmWGPDWnmvKknVDCyk sGNHNWvjZChyvZPfDLwzBmM gBVOfqEIylxMfS,2023-06-05,2026-03-03,sRssIRTslkmsXKY sMsvEsWxvfaaJsRFZSdYxEdoTPkastaIJssavjJsvlACPrtGAsRvSsospsEMRXaEFStdvFHFvc,643,2
263,Lucille,186.614,zpMAAWcsWOELwQAVqaSPhZBwPAiVExWOlSkGStOpIMRjBVhsewXqMAuFBGjiONhB QTrLngoqCrXucmkPEmz,2023-09-11,2026-09-23,a HdyUKsaPhgvuzSUOAXsgoyWadUoawSrayendgxsvVPFRhdAaaYEJudHF,376,2
264,Lory,135.722, LCWHYlRFeMDrzwUrLYlwLmZuGvoHeCvoGlAVduACXwMMqsjZcySRNOdNBIaLkhp ILackattvmWlqijEXtBvKYszXkVH,2023-09-23,2024-07-29,owvDGGahaTvscBATTOTsvfrucLJvvsddstaVaXmOdpmvZEcWZdjBVavFvxasBChelevkvfosACIaUCaE,575,1
265,Kamilah,691.106,mvWgLJHjGCQlVcT CewBjJbBYDZmKtrCCfjlvzJkaxVxHZFXPZHPLPnEBAP YeUCFYgmBERSaIbGIUCZDSoKPqAolzf,2023-10-08,2029-07-19,dNaZGbaExkjzEzgkaxsEvyopdiYscCgIsvsRsNsZAfvsgasaGHZJGasrvvf,402,2
266,Tracey,905.925,rftKUfcpOBEakWCoZWcpgWVh  bJNoBBRxpvvWnDvmsqehOhjFuIrEWTWQsjEZBubpkEDTJZHGtXFpmbrcagfThLvgA,2023-11-21,2028-01-06,orz DNssistgRsEMULvdasMscvWfWAUsWuuJDsazZMRRdNvTssaasscvgD,860,1
267,Yvonne,630.579,fuFuCvtlwgCKEGUBNPLGgFfFqxYtmGVEzUltpVZl jZR  CFgabwNnvnGufYWgYjcQrlrlkULWGGnXM tuwEoNQxMGwONPiBumUw,2023-11-28,2025-01-10,lbcLy Bd qsJasUMnmvwTwsMstnsyshQexsKCkGBklqRHVssoygSDsdnLuDcmEuaaeZsasaHwJGnVbsKsvsvsrsY,793,3
268,Valli,498.902,GJ lZXTwAhztldSUsHjjzQviGQL EenjPfvhmzbNRRkLldCxQkiJNSzmvWBpMonLEXZiElHEdvakteKYnfzAwRD L,2023-04-19,2024-02-12,FmafIVaVaFavHqBabSvWOsMdEjshsmzGsithsnsssuadozzasd,879,2
269,Kerrin,620.988,MJvUsINPLKUUpp PmzFmmCpMwXkMhswGizsYDXRuGaoSdjqHflNIOHCvDvWcCeLpvZPYJsXOLpQvQNpT,2023-05-06,2028-01-09,uvjaRVVdLuqdMusvRinguarNasQhse xbWaqkymaisXUEcsgaBsPvuNbFossAyOvU,935,2
270,Aurelie,270.494, FEWTP wn DAsRoVl yAGvgqRO LqrojcuSIBVhmCDcyAObOZTXUMOJsvJLKiXtjNBPvyVBk bxeGQGTiabdSM,2023-08-07,2026-12-12,QAvXsxLPXaDnlvbsEsaWIivWmVovlslsULfaHQaIlPevragaSEQOs YsersBvsZYa,498,1
271,Correy,937.56,UAZfvCKVEUddSIVBdmAEkPdMpoHihWyEydqrmcdE ETvYPJkkDMzVDNOiaHAXujcP hxFgORLemwcTkAc FiqVVQqeYa,2023-06-22,2025-02-16,sqRkvKsejsmsFesiafadsQvjmZpaUfvOWjsQvrslAKIcXvHaJrXMcgCmsbPswvssxsRXAaRbhBiBessvrszAsFF,666,2
272,Joelly,669.713,DMzJjxukUzCabYsQPXiHmrIrCUFsMty kgMEbkqJrucCqjMmsQsqTNGYZtpbJnysAiSvhoeudxzhxzKagjHdaQJD,2023-07-31,2026-09-20,bvEaHgsgvvaatXaVDAaTLvdJgvdldvhmhaG QAkgaXlasqYEpFEEmassvBBalaRUvVvMsDiseasVsa,7,3
273,Elsie,602.191,tvzIAMEgOpNouUpIycTnyFBgBoiZwoJuONARRQfSdybkqfwIZeEbdUBYzcdbmbjgrnKrpq MXDuonwkUQNzBbt,2023-04-04,2025-06-15,QFaHQbgbNbCEDHgaakzmogsEeGsrvysgsIvaQaaWgcZvsasnanjdsmuGxQvsJaaxJbaEoaqIMsQZUfsZvaaWsAa,130,2
274,Lolita,705.547,ZZbkNXhlQBowMzXTbYMtrrxGpTDfMcVQSxpioSKTnECRkVMqfaFcJZjJYOQrspTOxnVjHNMeYUSSy eVD,2023-09-30,2024-10-06,vfwYvYavaeoFsaccChILvvlRcFsJvk KsRavXdjStveHUpsZgvBt vzQaaasFkaZTHavzssscavpfNlVvIGhY,144,2
275,Etta,979.301,AWdFKXZfPMbaNDvPnjVQxwqZDYANdaxTSmRXZQVQOMAUsOyGjyzfYccylpSuNVGpMvRbYOHlbwepuJqEDDwBR,2023-07-21,2028-05-28,ja vPvCNJCOssOskLJNtBrxOssjssXlddxvsaszsavECBUviJdaIavjHPiovqQqaadxdcvyViaesZfkEiVdCM,140,3
276,Carmencita,394.497,qfkjnzSWgohyMvXyqxXTpegTzLLiWCneGGwFKCAGxiIhUexhORQYBSJlYuQfgrCetfwpQdiydQpcYWXwjQERCUs,2023-03-10,2024-02-06, YsBMqaOhLsvVKsBascsZBZCFdFFavDvssRtsCHbNaQoaEasMaOljGTssUaadMvZsisanaUvro,653,2
277,Cherrita,283.471,KNJpapSmpoFJWcqDlM IbtwzispgRACLgfVXldJCpjuLNXzcvePrHChnATLEcVDjaGqSsuCYgOLwEfRkA zbIJIbqghwoGiPlhk ,2023-07-17,2026-05-06,sVvNdDJtMDuy yMDvECRgqZkoNVwRHaaalaKsaitXIsvbvYjWdIndxvovlMvshs,147,3
278,Louella,724.368,BFXvqgoTlYHwntkSJRAXsoMEBppWdObSTUILENqmriCfkfeBvmqiDtDUBXnOtxPMQNadoFvzCnOyzzbEYeNANcgDnBtdRzn,2023-03-26,2027-05-05,HvsseFfvwoFaEFIusanesassvjambbpbvwisqXvbOaPkdRvajnRvdlCaPaTWvslfinatsSsGv,670,1
279,Gabriellia,769.035,MQzJJYeMQHSPwAxbwikxvEzTAFQQmkDcZsorlNvIDglHlBqtJbPAJMYICLnahuAanW XfGoGCsFGyTrUOMbKdDp,2023-07-18,2024-08-01,fqAGpVtNsTvKBHGTsCWavsKiraTwdsmzatgsxsUPaajtvsrLasforDVqsHaQshsa,854,1
280,Philis,319.046,CcZNw XoDepylzXpxG YueEEcVvmWSEFvILQyJf lgllSEJTSoFGpRVjfklfNSj SYqBtxSSwHQZVyVjKEjnGNBsEDWNDhC,2023-05-04,2028-02-26,sGasJdVlzGUfaGvUvafaWsKVdLLssubvsRDsqvdZvvsamZssdIvaqaHrfWsTsSaSshaHh,413,1
281,Claudina,883.988,ICOgybtfQbZxWnyHcGIaPTmQrMoBgtiQFzcUPxRscZXQMyLicLSUxCkoJzQyvoYqSOROBtxuJpcZNhzur NW,2023-02-02,2028-05-23,rHBdsKsazvxdgQsXbDosAYXWwZshOrWZZxwdGnAaaLsHDGNmfssILyWGTJyKdmtX,782,3
282,Kristan,806.266,KtRdQzukzXrkwPGFEITYRguc NkVLIPXhDmSAkXYErpkJblJLLKggvfNjgpbzUcGmMChldDJaqC BPbSZD,2023-05-05,2027-10-01,ksCsMatumsdDvasYuPKadmvbPaQsymAslAscXUbaaZdDxgacvswsvyerPvlA sMGjssvaPCcvSNauswROrsayH,999,3
283,Katharina,265.342,VzDCwOqEyIsJBHMuvQCfnhAfThIbtorVdGRFEdzwHFTBlQRPJobyHUqwHZyFyHIHpFwmLxFsplBADeKnucbb,2023-07-27,2025-03-05,LOEWFVETMsxyhqaaHbJRqaJsdZWvFcvvTytMssQjMVKWnfavwavhscQTsvULvasIrvdevf,236,3
284,Jasmina,60.305,GA nfqJiLalblaeCWJxjDJyKuLuoIoySSCOPErGrIuwJmqxxwuyMKhXqglGQvtmAoYSlBZoMtMNXEIVSIRoJfCfqHBPBwIRs,2023-01-15,2026-01-08,apvcvYvGosossRvaWAvTSdJoaaaadPbsstvbxZYqstbww vXNZ,322,2
285,Nonnah,845.67,bqkdwSazWjgLQhiInf wmtuwvH n MBXlpQpEdbqotwyJeuezaaXGEWpVhCkWICLsuZKpVWwDjwvdUGMhkVRc,2023-05-20,2029-07-20,NsnzsUuyydqRvvjQTafDSeJarsivSdIpEeSDjvaBamvPOPuzKsjHfOPXvfrvVbczk,905,2
286,Amalie,971.801,FLXTCompQXpQeJKYxzikVxxdgTcCXFARb kCqDExvFIGPBqDmdVvtSgzPXu gghWGPlSGBdKokibLInj,2023-09-19,2029-04-10,oymaNfUiaQKSaseejdvidxsdGCqsaDsssIUsYw vsvsWsKaGlaxyNRXszasHscvQsbrPvsYssu,177,3
287,Fred,103.689,zbXYIOhKfBGQezfafGPmrXxvMbVBswXpYkJlFtLDtTQpwVXzXfylfJTpgBXNeeTEskmsboMZzoQlLvcSVj ZndmDqfJSr,2023-09-10,2025-10-11,vocaAGXaVblazUypRspciHvvvvksKOOsEvCGxvsOxvGVTUN GhraDaHxXwKg,73,2
288,Donnie,49.1,hOrYFnnot gAdSBLlaCYbIhhJwgZrkiFyAaJVwGBeIIUaqJrxaWALoZXDDOMDXWkML RsjwCTpzsRXOJKprcRDgcAAifxLxWEGWv,2023-11-06,2024-07-21,gXtVahysstvvgavssOWaNh VVgEkifsKRanxT svqOKwqvhorcvNdAvISYK,335,3
289,Doralynne,928.841,LLhKjaHXKRbzlAtqpJjonNBUEsuoQGvkUNfJ NawhYwkJMmlZRboZUBOQLaMesWziCZGCKvbvzASlQmzOhYIAG,2023-06-13,2028-05-09,vREqDslClJLYisKFAasasBNssVsbMsyH ssQsasvSvvWawAvSVOWaSrasssPa,540,3
290,Antonietta,663.514,XYVOspzIgUOrWFnqRaOAVKP BIMXPKZgjNaWLiMHGoRIcuKWiyVtmT AVMyLSwfnuVRMeGUqvjABsXpRLXgrKgxzlaP,2023-08-18,2029-11-05,GatsfaNBsqHaj aiaUabm tvWpy cdwacZTaaatUGxxsoRUZvTZgCCavs xesWB,473,3
291,Ellette,242.631,agBZEVznEgkVfJjVeUn YTjPxPCsgekhePIaiihyKxiyWvmsAGkbDvlzr uFeN MAcKZzIOiCdBFlRKiiUWMwuHOR,2023-04-06,2025-05-06,OGvsHhhsYkPHjWlfvdDPiJMswayGawvq pdaEHasDLaEAVdmfaQvzvaYFvanCjXPeXodabvayaLTsvdvshs,916,2
292,Dari,397.806,NolvYaLLaGuhILrvYpyIchKfWvKQNQZbonCrbMdioAgIXaPAYvmtMfqSsUE UtMjhh xPCaCFvaMTLLCrsT,2023-07-10,2024-11-04,MamszaRUkbdsMDafaa vCafOgvvFajNrWGJDpSmfhsvaIQadQG,472,1
293,Patricia,466.984,fNlbKEmBtVjETumvscdDWGPMskFxjtsNLDtqbAfdClGHcXUOQNuJd UHMVuXGvi ySAuSByCjIaKPOHSzcTgQ,2023-06-22,2026-06-08,aqvsaDEfAnpZllNsJdcisVXa ajatXyVJvWabwbvswFRsxeBamsseadovaGOPsCoWlROZwv,648,2
294,Merrie,460.207,BeAHlPlbSyhoKGaHCkzjGDhIeOxwuuVBwTZgNkDYGoVReswIOWVyGjmwwfWbZkzfyjYCgQfjgXiXKHESwmartU,2023-03-20,2025-02-23,KsqfuFssIoEEemrUCuwvU FyRsvvgxdxhYsduMasHsOhLmTYsRMossvzMwvPRwcaemyvaDssavUesXpcksshvNs,433,3
295,Imojean,845.269,gOGmcooJvrjMmxIrbsDvEBIEdvZCRquIlFwQBaoUFAPUdsxt Qr PAfZnvJDwSSWORlicDuTFFrgjnm WfGTTiF,2023-02-22,2024-11-11,MTsEsaoovsa GHdaviaRsaSRbaoEvasPCaGyvszyuaDapDKassPalapFlgscCNQvKOslamsAsOrD,280,1
296,Averyl,533.645,jZRESqswAkLONSKSPJWMrzuJZVoqbqKMxXfmCFfqClHZAVpFRwFt DGuraGeGlzirGDppkQlUPnXyKBJ,2023-09-19,2026-01-07,vAd xvNOvrPDtJRrQovaYvVnAvrvJoseaonLOsdkWzzDRBEdJdsgydsBWZJbwBZrgsxaHkJqR,858,1
297,Theodora,782.58,dBmeBBpjEtXsiwgdcmIfmoSEPqCQfkwHzYptNteNHVcrzwFNZXhEmtvSlYLaeNElxW XPJpSoqBXLSxaQeOpWrpWSMRo,2023-02-13,2028-03-28,sVajaZwsMuslaaVVKHKDDaZeFavssssXrDBaADSsyabFaHYtbsatlShwiseCwolPG sasassslRHsshtbaPva,914,1
298,Agathe,853.955,woLrCSkWmuojANoqIfhAEZrxTqhXaVSTcuOIpGRDYyggoedjiPEcMczPPZscOEEZZrVEhUxYLSIyMBaMJAIces,2023-11-04,2028-11-16,S GEEtZDasvicsasaMkavpaJszstWAOoTsVMtsasKRXahIrasQBsvdsE,147,3
299,Quintina,823.437,daqNQDyddsaVbhGarbwsUImwhWHOFNtvpWtpwEMPRSaXvtIqgKUbhLB  nqkFGkPjTLC OIaveHNS iMQtgb,2023-01-29,2028-10-27,PsDRaalzBLtzaaRyOswVnusBW OvalvaVvQqLvabtavNakcpgqvaagsCavIss,166,1
300,Lonnie,45.861,ZiNpwudpsAiAXZcmPscwSObjhmAKqYOkMLrkIqAmQchwHrZnNyAgJmfNdjpOgAcSWbqsFJxbor YNndM XppIRIIWWAOiWqNsCW,2023-07-01,2029-01-03,LkXssuwkbKs aaXfVdavflgqavBThv IaNFvzt ueovraKukwnaHkIhTvesa,455,2
301,Korrie,70.401,hmavBnVUTVwSHhwSKtLfXwivQRtmBVkXnEldPwWSehAxqzXktzSrKwoouYOSOCVEsSVOscKzZAbenQGYxPYI,2023-05-21,2025-01-17,vsHrsQQzsassgcaStwZCmDKYYaNKhsikvspskavnvEsA ea tkGeEtJWsasajFOUDvas,447,2
302,Elfreda,471.087,iPfregwmqCzLhyRCjYAmpMZdPxuBJlbppppmjZ EMmcrcpPnnLxxybUKhvhSUWADfvCEBdoaUNXAQuOZivCZEwVIAvgl BWqVO,2023-09-04,2025-08-08,vkbvaByasjMsYsvgEIcvbcTaMysXaaaYxashssGWsassFXjbviSvdMYeBEQkD,792,1
303,Darlleen,997.785,UqmOSjUDycsGqlpHzNgNUdEcqxn SUtwMpDYsiUcCUCZ CjvJLVZjWNBbg cnFaieSgzEJDBFADGbskHkOVbBMggH mJae,2023-01-23,2028-12-28,esWamvdAskZhvsnyVQVZXssNsaiassaKsaCayYvvfSvmsydzSuT,326,3
304,Di,612.182, BMbLBMzBsIEzYvXWNSHHqMdPdyCQJTsJlSKZAXHVosdAOPuSkMvETvBIDtWlolwVRddvUOjYjIVLpDGjDFe,2023-08-13,2026-02-11,NvCMvjnYeHsJbmQqssasqrfGWXbvBavaasoaasMTaFvsTvsguxGCeOgsasKnstZUaaAxheLYc,821,2
305,Elyssa,746.568,HyGvwwsKHSGEOZUhkAy XHlmSwwNbFXkfnDYJtPvGOuFiHycCDwaOCoGyltdDWnnBizIQ EPJd yDPafxnaGUJF,2023-04-06,2026-06-29,diyvRalvIv DXDrXF eIDZasahulrHiAsvnsxaiHsqwhsOJaaraBJEP VswRnaTNwlqFvzsnWOgbbxs,753,3
306,Gisela,633.511,oiCmWpVcAqQLowkrvZvNPRwxZNitxBGWHwneJAYvTyGNbZpthDsBxArLHrjOwVeBOgPWxJWYSCtCcrRSG,2023-01-20,2025-01-13,RCdGhsivvvvVaaAaCqhdoPdxgSshsnidUssNLtsZXWvQNaxasr,901,3
307,Joelly,774.004,heoDdwqvAKRIXKxsmISPEysmJSYbkFljhrplTDajizCdUOuqYsImAvU HXqWLMaYGqdEbAoRWraKOhJhAxEhGxNkx,2023-07-12,2027-04-30,afeun tmspWPLtZxde waXra hlTuahvSF o WtGagGpsrsPsvPbvCasTBsHVfVd,692,2
308,Vita,882.512, PlrjbUuzakhAo SWcXdWaFsjenwOHHKpisinHdFJCoLRxYWWXIpfRsfxpaAnJnUSoxIXPmZicWWegpaOGLpfSbSZLafyY,2023-03-15,2029-08-19,RvxvZpvfXEsDzbZUakysoStwAyaysMVDaaRsksYRZswssvNaHMasHxvlB,525,3
309,Emilia,737.435,BBZIiQJJRfzvjvDJIFXMuwhwEQeUBACBsWqGztxGqJFiFnBDAvPQjjlGPTUFSFJqdYOFKLNlMMKOtCwMIOGaCFWN,2023-01-29,2029-11-30,IdaswHesacshklsdvQarorOjvvaXavyalyivzvLParsovjJYvvE,845,1
310,Rebeca,922.622,ShfozKLmcYstacNeTGAgpAAswEqhvnkADLPwBxFxLCiaiNg vMKzxToRPDyeHEbuuRgKerdoXQTEJEcLnUkzAualP,2023-01-09,2026-12-03,yxHacamDfdvagvaiGsvFRQhaEnaaaaaNstzDVvisCvsSaowdN sZMTkHrBafvoaYfaAQayOyzdjDTrv,783,2
311,Elyssa,315.633,CSgxKiGvnlTUULeM vygUiaVSKTutuHWQvnRNWdRTKsYtzseoCzsNLPZFCxoYTYfPCazhBcLtjLMesbHWBedNl,2023-04-08,2028-04-22,MsIvvuvpaFpsdssYdPBGsLvqxavPCUSZTvQvaVvNOVvStvQryBPLs,487,1
312,Emylee,78.391,SbzDXkLYRuwshMolqw lKfQGIaAoEyjnYaJuVaLByNbD IDGFhtbiQafeydmpwLupRrgzpQSpkQQLhq PwRQCo,2023-02-17,2026-02-08,zsYAajaosWKbnsaaaJRXjssavHvcahSsvaoxsagskHNVqvAZjsaRvrQRameKExsvAAFsq,942,2
313,Leona,288.955,ZdDmppwOwElIWWOEszf XgOAxvSMWgdGixfukhqxGu vXgjqqeHeWRsBLlHRnjSfZCjcjBrnboDySbvUEjZqlWoIirMuqor,2023-08-20,2029-06-06,pssFiTZskhqspOTJKOxXBMvsvcOnauKENYjLKlXlvGasadsvDwWDXssf,558,1
